date,clicks,impressions,ctr,position
2025-02-19,6,65,0.09230769230769231,7.061538461538461
2025-02-20,16,91,0.17582417582417584,12.142857142857142
2025-02-21,6,64,0.09375,18.34375
2025-02-22,9,83,0.10843373493975904,9.373493975903614
2025-02-23,24,110,0.21818181818181817,8.136363636363637
2025-02-24,15,88,0.17045454545454544,10.261363636363637
2025-02-25,19,116,0.16379310344827586,11.362068965517242
2025-02-26,14,81,0.1728395061728395,9.987654320987655
2025-02-27,19,105,0.18095238095238095,7.085714285714285
2025-02-28,12,72,0.16666666666666666,7.583333333333333
2025-03-01,15,85,0.17647058823529413,8.329411764705881
2025-03-02,8,87,0.09195402298850575,7.7701149425287355
2025-03-03,10,76,0.13157894736842105,10.93421052631579
2025-03-04,7,79,0.08860759493670886,11.734177215189874
2025-03-05,9,67,0.13432835820895522,10
2025-03-06,6,59,0.1016949152542373,12.254237288135593
2025-03-07,16,92,0.17391304347826086,13.41304347826087
2025-03-08,8,110,0.07272727272727272,13.136363636363637
2025-03-09,15,118,0.1271186440677966,7.47457627118644
2025-03-10,4,67,0.05970149253731343,16.91044776119403
2025-03-11,9,74,0.12162162162162163,11.027027027027026
2025-03-12,18,72,0.25,10.430555555555555
2025-03-13,11,103,0.10679611650485436,11.815533980582524
2025-03-14,13,87,0.14942528735632185,9.885057471264368
2025-03-15,16,112,0.14285714285714285,7.785714285714286
2025-03-16,26,166,0.1566265060240964,6.13855421686747
2025-03-17,6,73,0.0821917808219178,13
2025-03-18,14,73,0.1917808219178082,8.328767123287673
2025-03-19,14,84,0.16666666666666666,9.333333333333334
2025-03-20,8,84,0.09523809523809523,8.964285714285715
2025-03-21,14,96,0.14583333333333334,5.78125
2025-03-22,16,96,0.16666666666666666,10.59375
2025-03-23,20,142,0.14084507042253522,10.26056338028169
2025-03-24,19,100,0.19,8.51
2025-03-25,12,60,0.2,8.866666666666667
2025-03-26,10,60,0.16666666666666666,8.833333333333332
2025-03-27,12,82,0.14634146341463414,12.109756097560975
2025-03-28,12,90,0.13333333333333333,11.377777777777778
2025-03-29,10,96,0.10416666666666667,14.385416666666666
2025-03-30,26,132,0.19696969696969696,8.742424242424242
2025-03-31,8,85,0.09411764705882353,13.270588235294118
2025-04-01,10,93,0.10752688172043011,10.182795698924732
2025-04-02,6,79,0.0759493670886076,17.29113924050633
2025-04-03,20,81,0.24691358024691357,13.592592592592593
2025-04-04,16,81,0.19753086419753085,10.382716049382717
2025-04-05,11,88,0.125,16.522727272727273
2025-04-06,11,128,0.0859375,12.3671875
2025-04-07,4,77,0.05194805194805195,19.493506493506494
2025-04-08,8,71,0.11267605633802817,16.746478873239436
2025-04-09,8,61,0.13114754098360656,9
2025-04-10,5,56,0.08928571428571429,7.660714285714286
2025-04-11,15,102,0.14705882352941177,5.8431372549019605
2025-04-12,16,84,0.19047619047619047,8.119047619047619
2025-04-13,13,109,0.11926605504587157,6.155963302752293
2025-04-14,8,84,0.09523809523809523,6.261904761904762
2025-04-15,10,71,0.14084507042253522,6.140845070422535
2025-04-16,15,70,0.21428571428571427,3.842857142857143
2025-04-17,15,71,0.2112676056338028,2.943661971830986
